Abundances (Grouped): Total Proteins,Abundances (Grouped): No Wash,"Abundances (Normalized): F1: Sample, Total Proteins, Total1, 1","Abundances (Normalized): F2: Sample, Total Proteins, Total1, 2","Abundances (Normalized): F7: Sample, No Wash, MF1, 1","Abundances (Normalized): F8: Sample, No Wash, MF1, 2","Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
,200,,,,1803946.125,,,,1803946.125
56.2,143.8,368600704.2,361288211.9,913460613.7,954988381.8,134230494.5,171330778.1,860433022,954988381.8
61.8,138.2,770036289.2,739167689.4,1729992929,1641975198,280418216,350529497.6,1629564561,1641975198
9.9,190.1,26621.19203,,557367.4621,468762.5781,9694.435547,,525011.5469,468762.5781
132.8,67.2,10199418.93,9195688.202,4805598.046,4986744.5,3714244.25,4360796.625,4526626.75,4986744.5
30.2,169.8,453072.1037,273932.6969,2046784.605,1911338.875,164991.7969,129904.8809,1927966.063,1911338.875
91.6,108.4,53547170.62,56334939.5,66398346.99,63646730.81,19499862.88,26715261.4,62543835.5,63646730.81
75.4,124.6,255705.5204,486872.8898,553001.513,615865.25,93118.32031,230885.7813,520899.0469,615865.25
,200,,,5097246.829,4785573.125,,,4801344.938,4785573.125
124.4,75.6,397723.5912,508833.667,260246.7942,287321.4688,144835.9531,241300.0625,245139.125,287321.4688
161.8,38.2,14562617.79,14887749.08,3605462.88,3360689.891,5303156.953,7060096.484,3396161.012,3360689.891
196,4,18518002.57,20818987.88,447447.594,362143.9219,6743559.125,9872819.75,421472.6719,362143.9219
190.5,9.5,58211176.28,59782036.84,2559881.359,3410186.594,21198318.09,28349950.41,2411276.875,3410186.594
191.2,8.8,6033224.792,6129255.251,281543.237,,2197073.25,2906627,265199.2813,
196.7,3.3,23611342.28,24306293.83,427712.5876,373265.625,8598361.625,11526576.56,402883.3086,373265.625
158.4,41.6,14852220.73,17840064.07,4497113.254,4074925.813,5408619.438,8460148.875,4236049.906,4074925.813
170.3,29.7,49962769.36,57350013.06,9053316.244,9649586.406,18194558.94,27196631.5,8527759.313,9649586.406
175.4,24.6,79575609.98,85772911.81,12307664.49,10887966.94,28978440.23,40675392.22,11593188.36,10887966.94
32.5,167.5,320979608.1,298384926.6,1545513693,1651190310,116888684.8,141500663.4,1455794587,1651190310
108.3,91.7,9938559.778,7142032.337,7008538.666,7259544.469,3619249.172,3386908.063,6601683.766,7259544.469
200,,7777628.132,6110069.084,,,2832319.25,2897528.5,,
182.9,17.1,20795240.74,23187766.67,1957215.964,2144372,7572843.5,10996146.5,1843597,2144372
70.8,129.2,5172841.168,4394021.397,8358714.378,9072040,1883753.938,2083741.125,7873480,9072040
197.4,2.6,36490200.38,30292014.85,388294.1426,498506.4688,13288356.71,14365136.49,365753.1563,498506.4688
141.1,58.9,5971090.586,6181809.763,2681004.333,2399931.5,2174446.313,2931549.5,2525368.5,2399931.5
161.8,38.2,153810804.3,159686961.1,36400951.5,37542495.14,56012102.22,75727052.27,34287828.32,37542495.14
,200,,,926680.9894,1094846.875,,,872885.9375,1094846.875
16.1,183.9,,41808.26943,438874.6914,520521.9375,,19826.39648,413397.4375,520521.9375
200,,5087727.857,4765326.221,,,1852758.875,2259822,,
58.9,141.1,16935008.98,13759550.94,32363275.81,41385871.67,6167092.477,6525080.231,30484545.02,41385871.67
,200,,,626471.0973,612619.375,,,590103.625,612619.375
,200,,,245367.6496,226736.5938,,,231123.7344,226736.5938
57.6,142.4,23766205.09,16296030.17,48162039.61,49119902.17,8654756.826,7727934.201,45366169.78,49119902.17
,200,,,357578.6623,369107.6875,,,336820.75,369107.6875
,200,,,15273397.53,15238399.75,,,14386756.69,15238399.75
4.9,195.1,,169714.4781,6690278.178,6967332.969,,80482.32031,6301898.719,6967332.969
200,,734064.2089,550287.7708,,,267318.5391,260958.5059,,
75.8,124.2,7471236.211,6666559.471,11982540.04,11172031.5,2720742.852,3161428.422,11286937.81,11172031.5
17.1,182.9,79544.05533,46892.25144,597769.2949,711466.6875,28966.94922,22237.33203,563068,711466.6875
171.7,28.3,280252970.9,306069319.9,52774110.65,44072749.58,102057577.3,145144770.9,49710504.02,44072749.58
143.5,56.5,182027525.3,169143844.2,68048059.16,70102968.8,66287569.34,80211713.21,64097779.7,70102968.8
196.3,3.7,355480418.4,372253414.6,6265689.324,7448888.73,129452580.5,176530717.3,5901957.807,7448888.73
197,3,21619361.17,24148115.9,215137.3503,554109.8438,7872957.125,11451565.13,202648.3438,554109.8438
159.2,40.8,20739064.12,17765290.14,4982934.82,4850562.297,7552386.094,8424689.438,4693668.891,4850562.297
182.8,17.2,7687660.701,5309622.059,600674.0444,,2799556.5,2517939,565804.125,
27.2,172.8,37126733.45,31460787.27,218852533.8,215768176.9,13520158.08,14919393.95,206147856,215768176.9
75.7,124.3,1152135.203,1129425.935,2076831.955,1691402.125,419564.25,535598.5,1956269.125,1691402.125
12.7,187.3,690520.1845,636766.352,9768115.733,9812372.125,251461.4453,301968.542,9201063.75,9812372.125
11.4,188.6,2273500.636,2757252.81,39918696.93,42621229.13,827923.3086,1307549.635,37601364,42621229.13
17.4,182.6,,309973.5663,3049348.178,3454484,,146996.25,2872329.5,3454484
45.1,154.9,10671792.24,12242432.72,36269535.92,42483139.69,3886264.818,5805629.566,34164041.59,42483139.69
83.3,116.7,30332286.83,32466111.67,43882805.66,44014775.32,11045876.51,15396140.79,41335351,44014775.32
115,85,6536831.578,7137456.552,5071557.598,5029058.75,2380467.875,3384738.125,4777147,5029058.75
66.1,133.9,5360179.836,6466901.583,11048986.86,12899105.88,1951975.625,3066746.281,10407578.63,12899105.88
,200,,,600301.678,680903.625,,,565453.375,680903.625
170.9,29.1,401986581,381756799.6,67277634.1,65973920.18,146388373.5,181037430.4,63372078.83,65973920.18
96.9,103.1,3981674.008,4853367.22,4698459.546,4653916.938,1449975.719,2301572.969,4425707.781,4653916.938
0.6,199.4,24336.34114,14984.1461,5282754.613,7705802.5,8862.378906,7105.810059,4976083.75,7705802.5
109.6,90.4,19000508.88,24551076.99,20823233.44,15226945.25,6919269.75,11642658.09,19614417.31,15226945.25
98.6,101.4,71523737.64,69922731.45,72813661.98,72575777.19,26046251.57,33158889.76,68586733,72575777.19
123.7,76.3,30650925.52,34861706.94,18715953.1,21714701,11161912.72,16532184.5,17629467.38,21714701
111.7,88.3,449728.1709,719243.6089,419729.6396,482194.9063,163774.0625,341081.0625,395363.7813,482194.9063
,200,,,42414.95908,155886.0313,,,39952.71484,155886.0313
181.8,18.2,71719214.53,70028440.65,6370512.144,7884913.094,26117436.89,33209019.38,6000695.523,7884913.094
199.5,0.5,16488021.58,15188783.3,43306.72326,,6004316.5,7202853.5,40792.71094,
80,120,851792.2456,833398.8995,1217241.736,1311027,310190.6563,395216,1146579.25,1311027
192.4,7.6,1810216.365,2120285.935,80929.73389,74654.10938,659212.625,1005486,76231.65625,74654.10938
92.5,107.5,7300040.477,7394182.365,8262207.263,8840491.75,2658399.813,3506483.125,7782575.25,8840491.75
53.3,146.7,731627.7741,786342.2752,2059235.323,2113958.25,266431.2813,372900.7188,1939694,2113958.25
129,71,1013821783,996609694.2,563224254.3,542983823.7,369195711.6,472614131.3,530528344.6,542983823.7
131,69,1107465440,1189162025,617259950.3,591960417.4,403297204.6,563926661.3,581427197.3,591960417.4
196.4,3.6,70323455.92,69853820.85,2265572.797,714682.9688,25609154.17,33126210.84,2134053.313,714682.9688
22.6,177.4,78891.51969,89480.6928,724095.5769,600237.6875,28729.32031,42433.70313,682060.875,600237.6875
159.7,40.3,2384980.461,2268603.108,650926.0521,529317.6875,868520.0625,1075821.25,613138.9375,529317.6875
176.4,23.6,31314709.58,20979293.35,3278707.875,3586736.709,11403637.88,9948840.109,3088374.564,3586736.709
186.2,13.8,27131097.9,33124924.23,2319880.095,2139229.5,9880124.063,15708564.13,2185208,2139229.5
72.9,127.1,2005380.527,2309251.801,3932973.677,3578751.875,730284.0625,1095097.75,3704659.375,3578751.875
,200,,,2041543.807,2637982.813,,,1923029.5,2637982.813
2.6,197.4,364325.2824,,24934534.57,30421973,132673.5469,,23487052,30421973
69.9,130.1,16531002.84,13627730.17,26256993.26,29751482.25,6019968.656,6462567.938,24732740.22,29751482.25
35,165,78202667.18,80516827.19,369079765.9,379727643.8,28478466.17,38182841.84,347654199.4,379727643.8
158.1,41.9,6907731.752,6722762.229,1799590.771,1809951.469,2515535.75,3188081,1695122.156,1809951.469
28.2,171.8,475027.8423,554419.4609,3006523.658,3248303.25,172987.25,262917.8438,2831991,3248303.25
182.7,17.3,16371354.01,6923248.283,1036581.101,981231.4375,5961830.563,3283155.875,976406.2031,981231.4375
174.6,25.4,2046797451,1919457080,295922577,280424428.7,745366546.5,910248561.3,278743881.7,280424428.7
200,,572335.6206,814742.4167,,,208423.0781,386368.6875,,
105.5,94.5,8893949.53,8598000.428,8572232.512,7157265.75,3238841.461,4077360,8074603.125,7157265.75
139.9,60.1,236149578.5,241603316,99092053.44,106043664.4,85996782.77,114573580.8,93339629.23,106043664.4
188.3,11.7,1349284002,1359746564,79054687.55,89544476.4,491358417.9,644821583.6,74465458.82,89544476.4
161.1,38.9,4434923.531,4214731.381,1043336.429,,1615032.125,1998717.875,982769.375,
132.2,67.8,3081090.164,2695207.051,1451971.648,1507374.188,1122017,1278126.178,1367682.781,1507374.188
137.4,62.6,7601429.156,10566587.46,3630597.481,4594733.863,2768154.219,5010907.063,3419836.516,4594733.863
200,,1366138.576,756669.4568,,,497496.2188,358829.2188,,
104.2,95.8,13574209.17,17690144.83,13247529.4,15341165.63,4943215.758,8389053.891,12478492.88,15341165.63
161.2,38.8,2216624.914,2676691.346,461769.5493,742739,807211.3125,1269345.625,434963.2188,742739
,200,,,3116922.454,3095799,,,2935981,3095799
13.7,186.3,943945.2144,1120213.789,13524406.15,14421568.33,343749.2969,531229.8984,12739296.56,14421568.33
2.6,197.4,,56140.7899,4073990.581,4290647,,26623.19141,3837490.063,4290647
97.5,102.5,516807372.3,518862434.6,535266742.6,554219172.6,188201781.3,246055923.6,504193803.2,554219172.6
179,21,21651156.23,17006748.65,2395054.705,2107075.969,7884535.688,8064972.461,2256018.625,2107075.969
196.9,3.1,30794186.49,32292637.55,492615.2865,503163.4219,11214082.97,15313875.56,464018.3203,503163.4219
54.7,145.3,1738276.78,2404422.703,5603297.287,5273894.375,633014.9375,1140229.875,5278018.5,5273894.375
50.6,149.4,,113498.2274,287814.8764,390880.9063,,53823.34375,271106.8438,390880.9063
24.3,175.7,371984.9737,382067.4549,2629425.372,2815208.047,135462.918,181184.75,2476783.766,2815208.047
78.2,121.8,3116830.578,3335199.772,4537213.857,5552458.227,1135032.313,1581624.734,4273822.617,5552458.227
,200,,,1678897.326,1960894.625,,,1581435.125,1960894.625
,200,,,1423359.785,1701173.125,,,1340731.875,1701173.125
,200,,,554822.7209,510354.9375,,,522614.5313,510354.9375
67.9,132.1,,4852455.793,10244173.35,8713067.875,,2301140.75,9649485.594,8713067.875
32,168,757472.0171,833792.9002,4012269.365,4329880.281,275842.7813,395402.8438,3779351.844,4329880.281
53.1,146.9,1343420.342,1240009.718,4296792.727,2961072.25,489223.0938,588039.75,4047358.25,2961072.25
5.5,194.5,,128656.6279,4649054.154,4373589.75,,61011.78906,4379170.438,4373589.75
,200,,,270236.6231,374064.6875,,,254549.0313,374064.6875
73.6,126.4,2743305.544,2415203.785,3844036.374,5080086.188,999008.5625,1145342.5,3620885,5080086.188
109.2,90.8,11478617.31,13086290.2,10001316.07,10393538.88,4180080.125,6205805.25,9420726.5,10393538.88
46.2,153.8,4993237.667,4920910.287,16116632.03,16921745.94,1818349.106,2333603.369,15181040.31,16921745.94
50.8,149.2,36561332.7,35853334.02,107148465.7,105309307,13314260.42,17002435.77,100928356.2,105309307
52.3,147.7,1123154.83,2067899.527,4351570.326,4263795.781,409010.6895,980643.2188,4098955.938,4263795.781
,200,,,1694326.112,1635669.375,,,1595968.25,1635669.375
101,99,20110269.52,15135270.51,18761878.34,15605533.25,7323402.781,7177476.563,17672726.59,15605533.25
165.7,34.3,19475467.04,19456831.75,4180137.287,3883064.031,7092231.625,9226855.497,3937474.813,3883064.031
4.8,195.2,439844.2237,175621.3253,9398988.738,13639173.13,160174.7012,83283.47656,8853365.063,13639173.13
191,9,31946294.31,35399064.44,1804451.464,1405984.266,11633637.25,16787011.19,1699700.68,1405984.266
65.6,134.4,55164008.41,66517556.05,126729878.8,121691868.4,20088654.31,31544081.05,119373042.4,121691868.4
124.1,75.9,21969356.45,19135296.49,12239273.97,12824825.38,8000412.226,9074376.439,11528768,12824825.38
180.1,19.9,39431312.05,37296158.04,4078578.079,4414277.25,14359398.81,17686654.5,3841811.25,4414277.25
177.1,22.9,2648576.672,2915539.716,363092.1659,355631.1875,964511.875,1382612.75,342014.1875,355631.1875
103.8,96.2,1611485.285,2360574.558,1713626.394,1907886,586842.25,1119436.125,1614148.125,1907886
173.4,26.6,75107937.28,84952359.55,11489943.44,13017685.98,27351482.09,40286268.38,10822937.09,13017685.98
133.1,66.9,12657491.28,13432444.74,6997769.493,6142636,4609381.625,6369959.313,6591539.758,6142636
200,,4773518.745,5237713.738,,,1738335.75,2483838.5,,
62.8,137.2,2198094.201,1784636.36,4236581.113,4418544.5,800463.125,846313.625,3990642,4418544.5
43.7,156.3,684728.6183,1053174.051,3476040.544,2654888.125,249352.375,499438.1875,3274251.813,2654888.125
5.2,194.8,837503.2028,821538.2532,29943986.18,31815344.08,304987.125,389591.4219,28205698.34,31815344.08
97,103,24025011.38,24347921.19,23104629.15,28602961.72,8749004.332,11546317.17,21763375,28602961.72
80.3,119.7,68421402.46,65786917.78,95496380.22,104809732.2,24916497.94,31197596.39,89952689.58,104809732.2
166.6,33.4,55071334.27,48675814.43,10071476.78,10688682.25,20054905.88,23083136.64,9486814.289,10688682.25
164.2,35.8,1601046.087,1434996.895,343417.4941,317719.9375,583040.6875,680506.9375,323481.6563,317719.9375
87.9,112.1,43102826.83,43866157.95,54683959.13,56205064.94,15696426.22,20802292.26,51509483.28,56205064.94
124,76,7760894.352,7538931.916,4486933.459,4903125.375,2826225.438,3575126.53,4226461.063,4903125.375
144.5,55.5,10127271.85,8704462.194,3487149.629,3731394.422,3687971,4127846.5,3284716,3731394.422
178.8,21.2,79006934.05,86556269.33,10681213.3,8956042.953,28771349.88,41046877.5,10061154.8,8956042.953
190.2,9.8,6189249.129,5245538.068,287785.947,301732.1875,2253891.438,2487548.969,271079.5938,301732.1875
179.5,20.5,41527619.74,43051191.32,4655081.221,5017131.25,15122795.13,20415817.25,4384847.625,5017131.25
188,12,15188322.05,12896151.34,777197.2311,1025451.625,5531014.879,6115637.242,732079.9082,1025451.625
185.2,14.8,10653888.97,8668834.094,787043.34,748982.0625,3879745.125,4110950.875,741354.4375,748982.0625
152.2,47.8,22662452.29,16782868.3,6481541.522,5798121.5,8252811.625,7958803.5,6105279.5,5798121.5
200,,12611403.06,15284741.54,,,4592598.031,7248359,,
200,,5859544.009,10156440.72,,,2133825.25,4816406.5,,
149.5,50.5,11412153.92,11668502.82,3660868.205,4151053.313,4155876.66,5533459.441,3448349.984,4151053.313
186,14,50014666.74,42178107.63,3809228.115,3130235.563,18213458.01,20001781.85,3588097.406,3130235.563
161.4,38.6,19414889.83,19230585.87,4946655.558,4330261.609,7070171.688,9119564.75,4659495.688,4330261.609
,200,,,484873.8135,545603.5625,,,456726.25,545603.5625
151.7,48.3,11250043.08,11481207.71,3735290.27,3497034.5,4096842,5444640,3518451.75,3497034.5
195.6,4.4,1436474.995,2448432.428,42185.28229,,523110.0938,1161100.25,39736.37109,
200,,5501594.103,6079938.147,,,2003473.375,2883239.75,,
164.5,35.5,24325573.02,22776404.78,4988328.674,5186666.5,8858457.563,10801069.69,4698749.625,5186666.5
185.2,14.8,11911209.58,10438531.05,890977.744,893849.9375,4337613.938,4950179.906,839255.3125,893849.9375
148.3,51.7,48435790.77,53145184.22,16506124.82,18908731.55,17638490.84,25202609.63,15547922.54,18908731.55
152.1,47.9,7702738.64,5952194.676,2252679.048,2016003.125,2805047.317,2822661,2121908.063,2016003.125
40.2,159.8,3544377.707,3949484.768,13973734.17,15853092,1290728.875,1872932.125,13162540.5,15853092
,200,,,,397744.8125,,,,397744.8125
169.7,30.3,,909746.5656,183458.8149,143466.7031,,431421.7344,172808.7891,143466.7031
108,92,76351144.48,83659762.96,64045827.52,72321984.74,27804211.34,39673290.78,60327882.88,72321984.74
40.3,159.7,1445216.547,2101669.122,5870647.308,8103538,526293.4375,996657.5,5529848.5,8103538
,200,,,5830656.807,5156803,,,5492179.5,5156803
19.2,180.8,,117291.2254,1102816.912,,,55622.06641,1038796.938,
52.3,147.7,1179551.504,2900283.524,5112165.569,5336474.625,429548.2344,1375377.93,4815397.625,5336474.625
93.5,106.5,6476185.09,5150999.649,6457708.847,6698026.375,2358382.708,2442716.781,6082830.344,6698026.375
29.5,170.5,,92885.61261,521842.6201,551940.25,,44048.39063,491548.9688,551940.25
94.8,105.2,194074742.2,196363669.3,214677050.5,218600955.5,70674712.01,93119950.07,202214765,218600955.5
9.2,190.8,166573.1664,337802.0148,4378711.269,5570175.781,60659.67383,160193.1094,4124521.313,5570175.781
125.4,74.6,4860952.965,5112367.747,3025037.961,2910715.25,1770176,2424396.688,2849430.523,2910715.25
46.2,153.8,2512011.033,2107916.198,9384762.843,6243350.5,914779.8125,999620,8839965,6243350.5
139.4,60.6,4324193.725,4144681.894,1780292.181,1904449.125,1574708.5,1965498.875,1676943.875,1904449.125
62,138,2432106.593,1603772.45,4281480.587,4506443.5,885681.625,760544,4032935,4506443.5
81.5,118.5,2009385.094,2078874.017,2866248.434,3078208.594,731742.375,985847.5625,2699858.938,3078208.594
124.6,75.4,17959407.78,16005474.43,10332370.4,10194519.38,6540139.938,7590146.313,9732562.688,10194519.38
98.8,101.2,31176907.7,45320552.88,40963111.06,36169920.97,11353455.62,21491998.18,38585148.52,36169920.97
127.5,72.5,1098857.882,933720.6079,93460.74596,3545394.75,400162.6563,442790.75,88035.22656,3545394.75
158.9,41.1,,2881122.547,746201.1469,,,1366291.375,702883.1875,
191.2,8.8,39778616.46,47524446.59,2218718.931,1795109.188,14485874,22537132.81,2089919.375,1795109.188
105.7,94.3,35035947.97,35739143.8,33387441.23,29832611.13,12758772.75,16948284.27,31449256.3,29832611.13
89.6,110.4,326235969,302285990.4,381421640.1,392119267.5,118802853.4,143350633.2,359279611.5,392119267.5
33,167,22933704.47,24210535.5,124358487.9,114556282.4,8351591.453,11481165.87,117139313.9,114556282.4
9.9,190.1,213165.9469,287465.0003,4766064.543,4725581.625,77627.00977,136322.1953,4489388.219,4725581.625
92.6,107.4,1622842.513,1856431.865,2078631.682,1951719.75,590978.125,880360.625,1957964.375,1951719.75
60.3,139.7,102273579.9,98652843.09,235904795.3,230057393.9,37244186.04,46783337.55,222210211.2,230057393.9
173.4,26.6,27316362.97,27847916.12,4509912.02,3973560.813,9947590.625,13206091.38,4248105.688,3973560.813
50,150,10111550.84,11141111.77,31955187.07,31666642.44,3682246,5283359.063,30100146.38,31666642.44
124,76,32069825.35,24924714.94,16572139.96,18109404.8,11678622.6,11819845.39,15610105.41,18109404.8
,200,,,312757.6829,428170.125,,,294601.6875,428170.125
76.6,123.4,33351646.25,24885321.86,45084527.11,47706619.88,12145413.5,11801164.33,42467310.94,47706619.88
106.7,93.3,80451571.55,80249568.3,67592616.27,73121995.06,29297432.45,38056101.83,63668775.88,73121995.06
,200,,,179882.8256,224695.6875,,,169440.3906,224695.6875
101.4,98.6,223009855.6,177053491.2,192171545.6,194608403.1,81211790.58,83962640.95,181015734.2,194608403.1
185.9,14.1,7541797.869,8191437.583,326796.8633,1083351.156,2746438.75,3884559,307825.875,1083351.156
,200,,,1415483.427,1375884.875,,,1333312.75,1375884.875
,200,,,33043250.72,30558498.75,,,31125046.5,30558498.75
200,,3262886.147,3604345.701,,,1188220.25,1709259.625,,
155.7,44.3,3357834.272,4301767.971,1065227.84,1097228.844,1222796.781,2039992.531,1003389.961,1097228.844
188.7,11.3,37447104.25,41013481.18,2704447.306,2031434.25,13636825.06,19449490.5,2547450.578,2031434.25
190.1,9.9,12748431.49,14269234.33,963922.303,508261.1563,4642498.625,6766783.25,907965.3438,508261.1563
189,11,30246974.21,30701201.49,1578909.395,2006300.875,11014808.87,14559181.75,1487251.625,2006300.875
196.6,3.4,5123135.829,4524808.011,68954.99466,98991.34375,1865653.125,2145763,64952.06641,98991.34375
180.5,19.5,5346965.606,5491552.717,,583764.5,1947163.5,2604214.5,,583764.5
186.6,13.4,26711177.86,33159373.03,2116616.368,2163210.25,9727205,15724900.5,1993744,2163210.25
200,,4618267.243,5623150.923,,,1681799,2666621.25,,
190.5,9.5,12979099.56,12651289.71,581566.8464,708425.0625,4726499.25,5999518.5,547806.125,708425.0625
200,,454963.688,663457.5531,,,165680.6406,314626.0938,,
172.4,27.6,24788396.32,2907724.545,1255262.783,1471627.75,9027000.375,1378906.625,1182393.125,1471627.75
199.4,0.6,6680538.434,11285512.39,31280.32707,18650.87891,2432800.5,5351837,29464.46289,18650.87891
196.9,3.1,20310423.99,19208503.91,292862.4908,338158.0313,7396291.5,9109093,275861.4375,338158.0313
180.8,19.2,28228065.57,32713757.2,3981576.228,2604500.234,10279598.38,15513579.72,3750440.484,2604500.234
183.4,16.6,22528636.79,22112659.19,1923756.306,2129132.781,8204081.063,10486307,1812079.719,2129132.781
196.9,3.1,66691751.34,75221747.77,1220459.566,1038967.633,24286624.14,35671799.28,1149610.281,1038967.633
190.3,9.7,63479958.03,68848209.55,9600050.354,1191728.316,23117009.98,32649327.95,9042754.787,1191728.316
187.2,12.8,15663761.44,19735773.44,934609.3672,1552222.125,5704152,9359135.75,880354.0625,1552222.125
196.7,3.3,9246930.005,14846369.16,229083.1405,170571.4063,3367383.656,7040473.219,215784.5625,170571.4063
159.9,40.1,15713452.88,13635306.92,3974329.831,3383896.813,5722247.75,6466161,3743614.75,3383896.813
185.2,14.8,34886642.3,23821512.72,2092306.118,2535694.158,12704401.25,11296682.75,1970844.992,2535694.158
125.6,74.4,56333931.35,61232725.03,31140801.33,38909611.83,20514696.19,29037898.5,29333036.8,38909611.83
117.8,82.2,75881762.92,75729579.27,54719030.54,51083065.88,27633280.25,35912624.09,51542518.75,51083065.88
188.4,11.6,14213967.1,17937121.22,1116618.636,873362.6875,5176191.5,8506175.5,1051797.453,873362.6875
155.8,44.2,14366538.13,15883919.39,3938313.206,4674154.203,5231752.125,7532502.25,3709688.938,4674154.203
153.9,46.1,15123564.73,17498932.82,5190626.419,4571683.039,5507432.703,8298376.969,4889303.719,4571683.039
121.2,78.8,32664584.78,30843322.59,19406747.63,21910927.09,11895211.59,14626578.69,18280160.38,21910927.09
200,,12045934.01,11735572.81,,,4386675.5,5565265.5,,
43.1,156.9,1381799.41,1927721.048,6524739.005,5397243.938,503199.3047,914167.5156,6145969.313,5397243.938
,200,,,133404.3614,119103.4375,,,125660.0625,119103.4375
172.6,27.4,8847655.036,9273869.694,1971430.579,1053145.75,3221982.75,4397872,1856986.438,1053145.75
141.7,58.3,25187763.88,27213011.55,10682143.25,10842319.13,9172435,12905005.73,10062030.77,10842319.13
119.4,80.6,31440160.5,30079945.37,19794888.47,21727918.88,11449322.38,14264568.5,18645769.13,21727918.88
84.2,115.8,2340797.985,3624247.25,4105861.081,3900409.375,852430.4688,1718697.375,3867510.438,3900409.375
107.8,92.2,5333410.868,4648392.564,4618706.673,3934287.25,1942227.375,2204369.5,4350584.668,3934287.25
117.3,82.7,2000874.809,2185279.508,1322337.164,1646969.375,728643.25,1036307.375,1245573.75,1646969.375
85.4,114.6,1921464.655,1283704.717,2120121.469,2097127.125,699725.0625,608760.875,1997045.625,2097127.125
156.2,43.8,4836770.069,3808527.282,1330676.658,1089957.375,1761369.5,1806087,1253429.125,1089957.375
,200,,,7528421.535,7775935,,,7091386.75,7775935
200,,993598.336,1293376.877,,,361831.0938,613347.625,,
25.4,174.6,444316.0017,,2826978.182,3297283.438,161803.1543,,2662868.375,3297283.438
,,,,,,,,,
200,,2765785.559,,,,1007194.938,,,
7.9,192.1,65308.71024,54654.3541,1523343.337,1384381.375,23782.97266,25918.29102,1434911.25,1384381.375
32.4,167.6,4883442.795,18447542.8,50363936.87,47731734.88,1778365.949,8748228.586,47440244,47731734.88
2.5,197.5,86370.97607,88558.73021,6142499.565,7483215.25,31453.05664,41996.48828,5785919.375,7483215.25
186,14,3095102.459,4216738.089,285629.8118,260789.7031,1127119.75,1999669.5,269048.625,260789.7031
136.7,63.3,129317345.4,138817879.3,59618860.17,64447866.36,47092506.93,65830476.89,56157906.81,64447866.36
123.4,76.6,1062828.964,1417199.978,985408.6778,589988.9375,387042.2813,672067.25,928204.4063,589988.9375
5.5,194.5,,12162.68619,450443.0962,412042.5625,,5767.812012,424294.2813,412042.5625
158.8,41.2,37687787.95,37099531.73,9964123.227,9427385,13724473,17593410,9385692.75,9427385
,200,,,3180329.205,3619722.438,,,2995706.906,3619722.438
134.5,65.5,13822700.66,13864417.24,6824176.695,6656037.75,5033707,6574810.125,6428024.25,6656037.75
141,59,7467025.585,6845956.142,2509346.892,3573302.5,2719209.5,3246502.25,2363676,3573302.5
59.6,140.4,13505210.05,12346210.61,26227861.8,35277981.38,4918088.875,5854843.313,24705299.88,35277981.38
199.2,0.8,96116576.23,102191470.9,452044.4225,348316.7188,35002037.19,48461432.31,425802.6484,348316.7188
19.7,180.3,226110.632,224453.8852,2119804.307,2010515.875,82340.97656,106440.9453,1996746.875,2010515.875
196.9,3.1,6742558.165,5828048.677,,100298.8828,2455385.75,2763788.25,,100298.8828
35.1,164.9,195713.6461,197169.3376,832996.4139,1019875.375,71271.53906,93502.01563,784639.875,1019875.375
145.2,54.8,5211918.692,4870280.255,2006341.385,1800180.75,1897984.5,2309593.5,1889870.625,1800180.75
196.2,3.8,,4116164.916,,80623.97656,,1951975.5,,80623.97656
185.9,14.1,2477269.487,3048347.272,180529.424,240146.0156,902128.25,1445593,170049.4531,240146.0156
139.6,60.4,3271473.663,6015020.751,1819941.501,2024298.125,1191347.5,2852454.5,1714291.5,2024298.125
176.2,23.8,144473459,150999789.9,20480427.26,19376831.06,52611792.71,71607405.52,19291511.48,19376831.06
,200,,,294719.2135,284163.5313,,,277610.375,284163.5313
18.9,181.1,9897347.142,7334699.365,81947363.27,81698190.13,3604241.082,3478274.984,77190210.91,81698190.13
3.8,196.2,20286.52766,24972.34708,1205997.493,1100897.875,7387.589355,11842.43359,1135987.75,1100897.875
13.2,186.8,,134554.7355,1656695.878,2185256,,63808.80078,1560522.5,2185256
21.8,178.2,1396638.967,1588685.614,12548504.99,11818865.78,508603.3125,753389.4922,11820047.75,11818865.78
75,125,353528.9942,241411.796,463145.0555,511183.5313,128741.9453,114482.7578,436258.875,511183.5313
128.3,71.7,716012.5284,944819.0518,431244.3991,489815.9375,260744.7969,448053.875,406210.0938,489815.9375
,200,,,118378.8033,2686060.75,,,111506.7578,2686060.75
177.2,22.8,26561220.45,29489665.33,3838218.117,3391775,9672596.156,13984644.78,3615404.5,3391775
168.9,31.1,49949595.81,49097803.3,9717275.915,8552826.75,18189761.63,23283253,9153175.25,8552826.75
1.5,198.5,68189.23467,115852.662,11422127.55,11571646,24831.95117,54939.86816,10759058,11571646
168.3,31.7,10577385.49,11455582.31,2102590.354,2045693.395,3851885.438,5432487.875,1980532.215,2045693.395
167.3,32.7,15787830.08,15308358.39,2994536.806,3074416.25,5749333.125,7259558.625,2820700,3074416.25
174.3,25.7,12905065.87,22390193.96,2286465.585,2759163.25,4699538.969,10617920.06,2153733.246,2759163.25
